Material,Color,Opacity,A=410nm,B=435nm,C=460nm,D=485nm,E=510nm,F=535nm,G=560nm,H=585nm,I=645nm,J=705nm,K=900nm,L=940nm,R=610nm,S=680nm,T=730nm,U=760nm,V=810nm,W860nm
Cot,Grn,,2034.88,1028.7,1875.32,1138.13,970.1,851.3,480.56,944.88,438.25,835.95,1700.53,2099.22,798.37,1292.55,2121.12,2411.97,2894.16,2965.78
Cot,Grn,,2001.71,1010.16,1849.86,1115.95,955.31,837.4,473.11,927.81,431.1,826.67,1671.07,2057.49,782.33,1282.79,2112.54,2379.16,2849.42,2895.58
Cot,Grn,,1994.88,1005.53,1842.59,1114.17,952.35,836.7,472.29,927.42,432.73,817.05,1661.97,2043.3,791.49,1267.18,2069.64,2350.55,2823.1,2885.06
Cot,Tan,,3365.45,1719.13,3068.87,1953.35,1680.66,1448.94,894.07,1701.57,986.63,1215.47,2269.34,2926.39,2013.67,2183.18,2934.56,3012.64,3602.13,3704.01
Cot,Tan,,3408.37,1739.52,3073.41,1980.85,1685.1,1466.32,905.25,1724.85,989.23,1229.06,2270.94,2968.96,2045.74,2207.57,2982.61,3057.23,3602.13,3757.83
Cot,Tan,,3396.67,1743.23,3087.96,1979.08,1691.75,1463.54,904.83,1722.13,993.13,1225.08,2273.09,2952.27,2045.74,2223.18,2967.17,3038.72,3610.91,3734.43
Cot,Tan,,3385.94,1735.81,3071.59,1969.32,1680.66,1457.98,899.87,1710.88,985.65,1216.8,2255.41,2933.9,2036.58,2194.89,2954.3,3025.26,3581.95,3714.54
Cot,Tan,,3384.96,1723.77,3055.23,1957.79,1670.31,1450.33,894.49,1702.34,979.16,1213.15,2246.31,2923.05,2017.11,2157.82,2938.85,3010.12,3559.15,3695.82
Cot,Tan,,3348.87,1708.01,3037.96,1941.82,1665.87,1439.91,890.76,1694.97,983.06,1213.81,2247.91,2912.2,2019.4,2177.33,2948.29,3017.69,3583.71,3686.46
Cot,Tan,,3347.89,1723.77,3030.69,1954.24,1656.26,1435.04,886.21,1690.31,974.61,1200.55,2232.38,2912.2,2006.8,2161.72,2932.84,2994.13,3541.6,3666.57
Cot,Tan,,3310.83,1695.04,2997.96,1915.21,1638.52,1417.67,877.1,1665.09,963.89,1188.62,2207.21,2867.13,1986.18,2157.82,2898.52,2961.32,3521.42,3618.6
Cot,Tan,,3356.67,1714.5,3021.6,1944.48,1651.09,1432.27,884.97,1690.31,969.74,1200.55,2226.49,2910.53,1999.93,2133.43,2927.7,2994.13,3545.11,3661.89
Cot,Tan,,3383.01,1723.77,3058.87,1961.34,1676.96,1446.16,895.31,1708.55,988.25,1213.81,2254.88,2937.24,2028.56,2203.67,2957.73,3019.37,3595.11,3689.97
Cot,Tan,,3397.64,1729.33,3067.96,1965.77,1680.66,1449.64,897.38,1711.27,985.98,1210.17,2248.98,2931.4,2029.71,2183.18,2941.42,3005.91,3576.69,3678.27
Cot,Tan,,3289.36,1661.67,2950.69,1888.6,1614.12,1391.96,861.37,1634.82,954.14,1158.46,2164.89,2805.36,1951.82,2073.93,2832.45,2877.2,3445.98,3521.5
Cot,Blu,,2827.96,1461.49,2616.17,1636.67,1302.09,1059.78,579.08,1276.27,445.07,899.59,2625.51,3312.02,609.37,926.73,2487.51,3401.32,4449.59,4580.29
Cot,Blu,,2834.78,1464.27,2633.44,1641.1,1312.44,1059.08,580.32,1280.93,447.67,899.26,2664.61,3347.07,605.93,928.68,2483.22,3398.79,4523.28,4627.09
Cot,Blu,,2850.39,1471.69,2623.44,1650.86,1307.26,1064.64,582.39,1287.53,446.05,901.58,2656.04,3368.77,608.22,912.1,2498.67,3429.08,4515.39,4653.99
Cot,Blu,,2839.66,1461.49,2616.17,1638.44,1302.83,1056.3,578.66,1277.05,445.72,893.29,2629.8,3323.7,605.93,922.83,2472.07,3370.19,4448.71,4548.7
Cot,Blu,,2837.71,1459.64,2614.35,1636.67,1302.09,1053.52,577.01,1275.11,444.75,887.32,2624.97,3323.7,601.35,914.05,2452.33,3352.52,4443.45,4535.83
Cot,Blu,,2820.15,1450.37,2607.08,1628.68,1298.39,1049.35,574.11,1269.29,442.47,882.02,2617.48,3303.67,597.92,912.1,2426.59,3334.86,4428.54,4519.45
Cot,Blu,,2847.47,1465.2,2619.81,1642.88,1305.78,1058.39,581.15,1282.87,447.35,899.59,2625.51,3330.38,608.22,929.66,2512.4,3418.14,4468.01,4548.7
Cot,Blu,,2820.15,1446.67,2574.36,1624.25,1281.38,1044.49,572.04,1262.3,440.2,879.04,2569.81,3281.13,600.21,896.49,2448.9,3331.49,4359.23,4455.11
Cot,Blu,,2879.66,1477.25,2628.9,1658.84,1309.48,1061.86,581.56,1289.47,448.32,890.31,2645.86,3367.94,604.79,915.02,2466.06,3367.67,4452.22,4560.4
Cot,Blu,,2844.54,1454.08,2596.17,1632.23,1293.95,1046.58,575.35,1270.45,445.72,879.7,2610.51,3319.53,599.06,910.15,2451.47,3319.71,4408.36,4456.28
Cot,Blu,,2875.76,1470.76,2634.35,1655.29,1313.18,1057.69,581.15,1288.69,450.92,888.98,2651.22,3359.59,602.5,920.88,2464.34,3357.57,4475.91,4513.6
Cot,Blu,,2850.39,1456.86,2594.36,1635.78,1292.48,1047.96,575.35,1272.78,443.77,881.02,2588.02,3303.67,601.35,910.15,2470.35,3350.84,4389.06,4448.09
Cot,Blu,,2277.78,1160.3,2213.47,1288.93,1104.67,874.23,479.74,1010.46,388.22,749.43,2199.17,2554.12,564.7,850.64,2164.88,2858.69,3794.26,3597.54
Cot,Blu,,3122.55,1695.96,2980.69,1867.31,1539.44,1271.73,738.44,1486.2,679.63,1103.44,2435.37,3145.08,1223.32,1554.96,3095.02,3593.13,4152.19,4105.3
Cot,Blu,,3065.98,1651.48,2877.97,1800.78,1477.33,1235.6,712.77,1433.82,648.11,1066.64,2346.46,3049.09,1177.51,1498.38,3004.92,3516.57,4047.79,3990.64
Cot,Blu,,3083.54,1644.99,2914.33,1821.18,1492.85,1236.99,710.29,1452.44,660.46,1085.2,2343.78,3071.63,1160.32,1503.25,2977.46,3464.41,3966.21,3856.1
Cot,Blu,,3049.39,1624.6,2836.16,1773.28,1449.97,1211.28,701.18,1410.54,633.5,1038.8,2215.24,2933.9,1148.87,1446.68,2894.23,3325.6,3764.43,3622.11
Cot,Blu,,3001.59,1584.75,2795.25,1728.03,1418.91,1171.66,671.8,1369.4,587.69,994.72,2181.5,2900.52,1033.18,1328.64,2754.37,3233.06,3681.09,3486.4
Cot,Blu,,3194.74,1734.89,3017.05,1893.03,1569.75,1284.94,752.1,1514.53,713.41,1108.08,2486.79,3186.81,1298.92,1606.66,3137.92,3668.85,4282.03,4154.43
Cot,Blu,,3133.29,1668.16,2927.97,1824.73,1500.99,1218.92,709.46,1458.65,639.02,1036.15,2344.86,3084.15,1115.65,1392.05,2888.22,3454.32,3960.06,3755.49
Cot,Blu,,3139.14,1695.04,2952.51,1854.89,1524.65,1264.09,740.51,1483.49,692.3,1094.82,2359.85,3078.3,1271.43,1554.96,3073.57,3534.24,4044.28,3915.77
Cot,Blu,,3035.74,1606.99,2835.25,1784.81,1448.49,1203.63,685.46,1409.76,632.2,1048.41,2306.83,3009.86,1099.62,1452.53,2929.41,3411.41,3925.85,3823.34
Cot,Blu,,3099.14,1652.41,2871.61,1795.45,1467.71,1214.05,699.12,1420.62,615.3,1028.19,2378.06,3130.05,1088.16,1400.83,2877.07,3429.92,4051.3,3945.02
Cot,Blu,,3080.61,1627.38,2881.61,1813.19,1472.15,1218.92,697.46,1441.19,647.14,1064.32,2283.26,3017.37,1123.67,1471.06,2925.12,3392.06,3826.72,3682.95
Cot,Blu,,3734.19,1923.02,3350.66,2151.17,1862.55,1578.9,948.3,1759.39,932.05,1349.71,2764.23,3478.12,1817.8,2056.37,3931.62,4177.82,4849.63,4830.65
Cot,Blu,,3850.27,2029.59,3512.47,2272.7,1981.6,1683.83,1000.04,1794.7,918.08,1324.85,2789.4,3506.5,1791.46,1980.28,3868.99,4165.2,4864.55,4889.15
Cot,Blu,,3797.6,1981.4,3446.11,2223.03,1947.59,1654.65,990.52,1775.68,920.03,1319.88,2714.42,3421.36,1808.64,2001.74,3853.54,4102.95,4774.19,4756.95
Cot,Blu,,3785.89,1945.26,3361.57,2181.33,1869.21,1587.93,954.09,1775.68,945.7,1348.72,2773.34,3507.33,1846.44,2076.85,3983.97,4206.43,4861.04,4834.16
Cot,Blu,,3897.1,2031.45,3526.11,2282.46,1993.43,1683.14,1007.9,1821.86,945.05,1340.1,2833.32,3568.26,1826.97,2022.22,3966.8,4224.94,4969.82,4904.36
Cot,Blu,,3795.65,1980.48,3422.48,2229.24,1934.28,1653.95,990.1,1792.37,930.43,1326.18,2750.31,3477.28,1815.51,1996.86,3926.48,4183.71,4828.58,4788.54
Cot,Blu,,3882.46,2023.11,3511.56,2273.59,1984.56,1671.32,1000.04,1811.38,941.8,1326.51,2810.29,3539.05,1825.82,1985.15,3921.33,4185.39,4903.15,4856.39
Cot,Blu,,3838.57,1985.11,3420.66,2236.33,1932.06,1636.58,982.65,1776.85,925.88,1286.4,2710.67,3442.23,1818.95,1938.33,3874.13,4076.03,4739.09,4662.18
Cot,Blu,,3801.5,1958.23,3385.21,2206.17,1915.05,1624.07,981,1776.46,930.43,1291.04,2708.53,3441.39,1816.66,1944.18,3897.3,4087.81,4761.9,4634.11
Cot,Yel,,3195.72,1642.21,2887.97,1870.85,1633.34,1486.47,960.3,1913.83,1171.48,1473.68,2776.55,3516.51,2470.7,2714.83,4177.03,4299.81,4937.36,4840.01
Cot,Yel,,3202.55,1645.92,2886.15,1875.29,1639.99,1498.98,969.82,1924.3,1177,1474.01,2780.83,3519.02,2491.32,2720.69,4169.31,4302.33,4921.57,4844.69
Cot,Yel,,3247.42,1666.31,2927.06,1898.35,1656.26,1508.01,980.17,1966.6,1218.91,1499.2,2841.36,3590.8,2574.93,2767.51,4231.09,4343.56,5029.48,4925.42
Cot,Yel,,3026.96,1542.12,2706.17,1748.44,1526.87,1380.84,877.1,1739.21,1114.63,1436.55,2511.43,3175.13,2363.03,2763.61,4007.13,4022.19,4500.47,4420.01
Cot,Yel,,3080.61,1567.14,2761.62,1783.03,1556.44,1403.08,890.35,1764.04,1124.05,1442.52,2563.38,3235.22,2358.45,2766.53,4025.15,4054.15,4573.29,4473.83
Cot,Yel,,3142.06,1598.65,2802.52,1824.73,1586.76,1429.49,907.73,1798.19,1138.34,1465.72,2601.41,3313.68,2385.94,2753.85,4137.56,4152.58,4665.4,4554.55
Cot,Org,,2552.87,1325.26,2373.46,1472.56,1203.01,994.45,557.14,1217.68,728.36,1277.45,2330.39,2913.04,1246.23,2191.96,3527.48,3645.29,4104.82,4119.34
Cot,Org,,2493.36,1294.68,2320.74,1441.51,1175.65,976.39,546.79,1187.8,713.41,1248.62,2277.37,2842.09,1217.6,2141.24,3434.81,3531.72,4003.05,4028.08
Cot,Org,,2507.99,1310.43,2350.74,1451.27,1192.66,988.9,553.41,1206.04,732.26,1301.65,2330.39,2889.67,1256.54,2242.69,3518.04,3655.39,4122.36,4171.98
Cot,Org,,2682.61,1404.96,2514.36,1565.7,1274.73,1046.58,585.29,1294.12,751.42,1369.6,2519.46,3140.07,1267.99,2306.1,3768.59,3950.68,4438.19,4499.56
Cot,Org,,2905.02,1513.39,2687.08,1691.66,1367.16,1105.64,621.3,1395.79,814.45,1418.32,2756.73,3451.41,1341.3,2346.09,4042.31,4250.17,4839.98,4827.14
Cot,Org,,2854.29,1487.44,2642.53,1655.29,1342.75,1088.97,612.19,1367.07,789.43,1403.08,2689.78,3377.95,1301.21,2349.02,4003.7,4185.39,4759.27,4728.87
Cot,Org,,2878.68,1499.49,2651.62,1672.15,1346.45,1097.31,615.09,1375.61,786.83,1399.1,2711.74,3416.35,1300.07,2324.63,3955.65,4154.27,4745.24,4792.05
Cot,Org,,2869.9,1488.37,2638.9,1663.28,1340.54,1086.88,609.29,1364.36,775.46,1375.9,2690.85,3386.3,1267.99,2262.2,3995.98,4181.19,4744.36,4704.3
Cot,Org,,2643.59,1368.82,2440.73,1524.01,1238.5,1018.78,572.04,1260.36,757.6,1312.26,2410.73,3028.22,1284.03,2253.42,3682.79,3785.78,4253.96,4231.65
Cot,Org,,2804.54,1455.01,2571.63,1619.81,1305.05,1068.12,599.77,1332.54,766.37,1359.99,2599.27,3290.31,1276.01,2259.27,3908.46,4057.52,4596.1,4593.16
Cot,Org,,2522.63,1298.38,2316.19,1444.17,1174.91,972.22,546.38,1195.56,716.01,1223.76,2256.48,2837.92,1227.9,2094.41,3462.27,3549.38,3961.82,3925.13
Cot,Org,,2888.44,1487.44,2621.63,1661.5,1333.14,1077.85,605.98,1358.93,773.84,1334.46,2659.79,3375.45,1265.7,2188.06,3971.95,4109.68,4671.54,4569.76
Cot,Org,,2007.57,1040.75,2405.28,1131.92,1219.27,817.25,455.73,945.66,727.71,1026.54,2393.6,2202.72,1028.6,2295.37,2659.12,2817.46,4214.48,3295.7
Cot,Org,,2844.54,1502.27,2683.44,1666.83,1361.24,1107.03,617.57,1381.82,777.41,1454.45,2771.73,3430.54,1286.32,2414.38,3991.69,4299.81,4862.79,4989.77
Cot,Org,,2623.1,1383.65,2486.18,1526.67,1259.94,1038.24,580.32,1275.5,751.75,1382.53,2498.57,3072.46,1282.88,2383.16,3658.76,3896.83,4388.18,4519.45
Cot,Blu,,2109.02,1066.7,1971.67,1155.87,995.98,868.67,480.15,915.39,382.05,708.33,1526.46,1883.04,719.33,905.27,1753.87,2079.66,2440.61,2694.36
Cot,Blu,,2239.73,1135.28,2084.39,1232.16,1055.87,920.79,512.02,979.03,408.04,753.08,1629.29,2014.92,770.88,956.97,1897.17,2252.96,2612.56,2886.23
Cot,Blu,,2169.5,1100.99,2028.94,1193.12,1026.29,892.99,495.47,947.21,393.09,728.22,1585.91,1959.83,736.51,922.83,1821.66,2170.52,2545.88,2801.99
Cot,Blu,,2185.11,1106.55,2033.49,1201.11,1026.29,895.77,495.47,951.09,392.44,731.54,1582.16,1964.84,737.66,910.15,1819.94,2171.36,2526.58,2797.31
Cot,Blu,,2213.39,1117.67,2033.49,1222.4,1032.95,904.81,504.57,967.39,400.56,738.16,1598.77,2008.24,755.99,927.71,1874,2207.53,2583.6,2838.26
Cot,Blu,,2105.12,1063.92,1967.13,1168.29,994.5,865.2,480.15,923.15,384,703.69,1532.35,1903.91,710.17,877.96,1738.43,2055.26,2456.4,2680.32
Cot,Blu,,2489.46,1268.73,2296.2,1391.83,1210.4,1065.34,617.99,1150.94,558.78,891.96,1771.76,2199.38,1131.69,1367.66,2243.82,2533.95,2937.15,3152.97
Cot,Blu,,2253.39,1135.28,2074.39,1239.25,1053.65,918.01,513.26,979.03,409.34,744.79,1611.62,2008.24,774.31,947.22,1893.73,2217.63,2600.27,2839.43
Cot,Blu,,2164.62,1090.79,1999.85,1187.8,1009.28,881.88,488.43,933.63,386.27,709,1547.35,1923.11,725.06,888.69,1790.77,2109.1,2472.19,2718.92
Cot,Blu,,2212.42,1112.11,2045.3,1214.41,1042.56,910.37,510.78,967.39,415.18,734.19,1568.24,1948.15,796.08,967.7,1825.09,2134.34,2511.67,2745.83
Cot,Blu,,2186.08,1104.69,2022.58,1196.67,1025.55,900.64,500.85,949.93,401.54,729.55,1552.17,1930.62,772.02,948.19,1813.94,2130.98,2481.84,2750.51
Cot,Blu,,1661.27,828.52,1538.07,889.74,760.85,694.24,378.33,694.6,294.98,549.89,1109.76,1368.88,578.44,709.19,1237.32,1440.28,1730.01,1966.66
Cot,Brn,,2692.36,1447.59,2650.71,1573.68,1322.79,1080.63,585.29,1292.18,559.75,1342.09,2729.42,3285.31,848.77,1955.89,3494.01,4065.93,4517.14,4898.51
Cot,Brn,,2742.11,1470.76,2667.08,1604.73,1334.62,1094.53,595.22,1317.02,572.75,1351.7,2749.77,3345.4,872.82,1999.79,3511.18,4047.42,4559.25,4954.67
Cot,Brn,,2733.33,1459.64,2657.08,1596.75,1330.92,1088.97,594.81,1314.3,575.34,1345.4,2722.45,3322.87,879.69,1991.01,3537.77,4059.2,4541.7,4883.3
Cot,Brn,,2733.33,1466.13,2662.53,1600.3,1332.4,1091.75,593.56,1313.53,568.2,1352.36,2733.17,3332.05,868.24,1967.6,3549.79,4086.96,4553.99,4944.14
Cot,Brn,,2744.06,1472.61,2673.44,1606.5,1336.84,1095.92,594.81,1317.41,572.1,1350.37,2752.98,3343.73,872.82,2000.76,3497.45,4037.33,4549.6,4968.71
Cot,Brn,,2683.58,1435.54,2609.81,1565.7,1305.05,1072.98,584.46,1286.75,562.02,1336.45,2674.25,3251.92,864.8,1965.64,3509.46,4022.19,4482.05,4825.97
Cot,Brn,,2762.6,1464.27,2685.26,1602.96,1356.8,1123.71,618.4,1333.32,557.48,1233.37,2712.28,3261.1,906.04,1690.55,3327.55,4019.66,4572.41,4877.45
Cot,Brn,,2772.35,1471.69,2682.53,1612.71,1359.02,1129.27,622.13,1343.02,563.65,1250.27,2721.92,3284.47,922.07,1725.67,3384.18,4063.41,4609.26,4945.31
Cot,Brn,,2701.14,1442.96,2619.81,1576.34,1331.66,1105.64,609.29,1314.3,551.3,1219.78,2648.01,3215.19,904.89,1700.31,3294.09,3922.07,4482.05,4811.94
Cot,Brn,,2763.57,1472.61,2689.8,1616.26,1367.89,1132.05,625.02,1350,576.64,1271.82,2714.42,3280.3,946.13,1805.66,3403.92,4022.19,4580.31,4892.66
Cot,Brn,,2776.25,1469.83,2692.53,1611.83,1362.72,1127.88,619.64,1339.14,557.15,1232.37,2733.17,3278.63,902.6,1681.77,3331.84,4029.76,4580.31,4906.7
Cot,Brn,,2567.5,1356.77,2480.73,1485.86,1258.46,1052.13,577.42,1233.59,522.39,1153.82,2470.72,2978.14,875.11,1617.39,3082.15,3657.91,4149.56,4467.98
Cot,Brn,,2775.28,1446.67,2616.17,1612.71,1333.88,1093.14,608.05,1322.84,564.95,1192.93,2610.51,3224.37,901.46,1663.24,3385.04,3865.71,4483.8,4600.18
Cot,Brn,,2747.97,1467.98,2674.35,1600.3,1353.85,1123.02,615.5,1328.66,556.83,1230.39,2694.07,3271.12,904.89,1712.99,3316.4,3960.77,4500.47,4832.99
Cot,Brn,,2733.33,1438.32,2587.08,1595.86,1320.57,1095.92,608.47,1316.24,561.7,1212.15,2580.52,3185.98,923.22,1697.38,3362.73,3845.52,4417.13,4662.18
Cot,Brn,,2802.59,1475.39,2652.53,1641.1,1356.8,1122.32,624.2,1354.66,583.79,1241.99,2654.97,3276.12,956.44,1754.93,3463.98,3953.2,4564.51,4788.54
Cot,Brn,,2824.05,1497.64,2712.53,1653.52,1382.68,1144.56,632.89,1372.12,589.96,1277.78,2708.53,3320.36,971.33,1807.61,3505.17,4039.01,4577.67,4868.09
Cot,Blu,,2808.45,1485.59,2700.71,1629.57,1340.54,1086.88,584.87,1280.15,446.37,1032.17,2742.81,3364.6,603.64,1127.68,2813.57,3630.99,4503.98,4877.45
Cot,Blu,,2812.35,1487.44,2696.17,1632.23,1339.06,1088.27,585.29,1280.93,446.7,1038.14,2747.09,3365.43,607.08,1136.46,2864.2,3677.26,4515.39,4906.7
Cot,Blu,,2831.86,1498.56,2707.07,1644.65,1344.97,1095.92,589.43,1290.63,450.92,1045.76,2766.37,3392.14,611.66,1143.29,2877.07,3694.08,4533.81,4942.97
Cot,Blu,,2813.32,1486.52,2685.26,1633.12,1333.88,1087.58,585.29,1281.32,447.02,1029.85,2734.24,3357.09,608.22,1119.88,2820.44,3644.45,4479.42,4884.47
Cot,Blu,,2856.25,1511.54,2726.16,1659.73,1355.32,1104.25,594.39,1301.88,452.87,1054.38,2776.01,3422.19,615.1,1151.1,2892.52,3705.02,4544.34,4976.9
Cot,Blu,,2775.28,1471.69,2672.53,1614.49,1327.97,1078.54,579.91,1267.74,443.45,1031.84,2718.7,3334.55,605.93,1138.42,2799.84,3589.77,4429.41,4854.05
Cot,Blu,,2752.84,1457.79,2640.72,1595.86,1308.74,1068.12,573.28,1253.38,435.97,1002.01,2682.28,3284.47,596.77,1088.66,2707.17,3532.56,4361.86,4775.67
Cot,Blu,,2828.93,1499.49,2717.98,1642.88,1349.41,1097.31,589.84,1291.41,449.62,1046.76,2775.48,3395.48,610.52,1139.39,2865.06,3705.86,4549.6,4959.35
Cot,Blu,,2780.16,1472.61,2679.8,1610.05,1328.71,1075.76,578.25,1265.02,442.47,1028.19,2703.71,3311.18,600.21,1118.91,2817.86,3639.4,4453.98,4811.94
Cot,Blu,,2806.5,1486.52,2697.08,1628.68,1337.58,1087.58,584.87,1280.15,444.42,1032.83,2742.81,3366.27,603.64,1108.17,2821.3,3656.23,4504.86,4904.36
Cot,Blu,,2774.3,1467.05,2668.9,1608.28,1323.53,1076.46,578.66,1262.3,441.82,1023.22,2699.42,3304.5,603.64,1128.66,2792.12,3595.65,4418.01,4813.11
Cot,Blu,,2817.23,1491.15,2705.26,1634.89,1342.75,1092.44,586.11,1282.09,446.7,1044.1,2749.23,3367.94,608.22,1129.64,2865.92,3686.51,4496.96,4917.23
Cot,Blu,,2729.43,1441.1,2631.63,1577.23,1302.83,1057,567.49,1237.08,434.03,993.39,2639.44,3221.03,589.9,1075.01,2679.72,3456,4275.89,4663.35
Cot,Blu,,2791.86,1480.03,2696.17,1617.15,1336.1,1087.58,583.63,1271.62,445.07,1038.47,2725.67,3325.37,609.37,1142.32,2806.71,3624.26,4431.17,4857.56
Cot,Blu,,2770.4,1465.2,2659.81,1603.84,1318.35,1073.68,577.01,1259.2,439.55,1015.93,2679.61,3291.98,599.06,1096.47,2746.64,3535.08,4349.58,4758.12
Cot,Blu,,2801.62,1481.88,2696.17,1625.13,1336.84,1086.88,584.46,1276.27,445.4,1029.52,2721.38,3338.72,605.93,1121.83,2795.55,3599.02,4434.68,4842.35
Cot,Blu,,2805.52,1485.59,2705.26,1626.02,1341.28,1088.97,585.7,1278.21,446.7,1031.51,2731.56,3346.24,608.22,1133.54,2798.99,3613.32,4462.75,4852.88
Cot,Blu,,2749.92,1451.3,2639.81,1588.76,1307.26,1064.64,571.63,1245.62,435.33,1005.99,2644.79,3246.08,594.48,1107.2,2722.62,3496.38,4301.33,4701.96
Cot,Blu,,2769.43,1463.35,2661.62,1601.18,1317.62,1072.98,574.94,1255.71,438.25,1007.64,2672.11,3277.79,595.63,1100.37,2705.46,3498.06,4309.22,4738.23
Cot,Blu,,2699.19,1424.42,2600.72,1559.49,1287.3,1047.96,562.52,1223.89,428.83,989.08,2602.48,3182.64,587.61,1081.84,2666.85,3435.81,4217.99,4608.37
Cot,Blu,,2725.53,1437.4,2612.54,1573.68,1291,1057,566.25,1234.36,429.15,982.78,2611.05,3206.01,586.46,1062.33,2611.07,3392.9,4186.4,4625.92
Cot,Blu,,2726.5,1437.4,2620.72,1571.91,1298.39,1057.69,568.32,1233.59,435,1008.31,2631.4,3209.35,596.77,1100.37,2749.22,3513.21,4288.17,4656.33
Cot,Blu,,2806.5,1481.88,2683.44,1624.25,1330.19,1085.49,583.22,1273.94,444.75,1029.52,2702.1,3327.87,605.93,1127.68,2796.41,3589.77,4408.36,4811.94
Cot,Blu,,2766.5,1462.42,2646.17,1602.07,1310.96,1072.29,574.52,1254.93,436.95,1019.24,2664.07,3276.12,597.92,1112.08,2788.69,3577.99,4352.21,4765.14
Cot,Blu,,2755.77,1455.93,2633.44,1592.31,1302.83,1066.03,571.63,1247.17,434.35,1013.28,2635.69,3248.58,594.48,1095.49,2774.96,3579.67,4336.42,4720.68
Cot,Blu,,2775.28,1465.2,2643.44,1604.73,1310.22,1071.59,576.59,1257.65,437.6,1025.54,2651.22,3275.29,600.21,1113.05,2832.45,3625.94,4392.57,4759.29
Cot,Blu,,2786.01,1473.54,2665.26,1611.83,1320.57,1080.63,579.49,1264.24,440.85,1022.23,2684.43,3298.66,602.5,1123.78,2776.68,3576.3,4361.86,4795.56
Cot,Blu,,2757.72,1455.01,2645.26,1594.09,1309.48,1068.12,573.28,1250.27,435.97,1003.33,2651.75,3251.08,596.77,1093.54,2708.03,3509,4311.86,4720.68
Cot,Blu,,1897.34,954.56,1768.96,1024.58,889.5,799.18,443.72,811.79,358.01,655.63,1265.09,1557.52,721.62,902.34,1480.15,1664.06,1958.98,2217.02
Cot,Blu,,1648.58,818.33,1528.98,870.23,754.19,688.68,376.26,678.3,294.66,552.21,1047.1,1286.24,594.48,739.43,1185.84,1338.49,1594.9,1832.12
Cot,Blu,,1592.01,784.04,1463.53,831.2,716.48,662.97,359.28,643.38,280.36,524.7,995.68,1215.3,566.99,687.73,1113.76,1265.29,1498.4,1743.2
Cot,Blu,,2800.64,1467.98,2650.71,1617.15,1312.44,1069.51,576.59,1257.65,443.77,1013.61,2615.87,3235.22,603.64,1139.39,2690.87,3423.19,4257.46,4661.01
Cot,Blu,,2786.01,1467.05,2677.08,1609.17,1324.27,1069.51,577.01,1257.26,445.4,1020.9,2643.72,3236.89,602.5,1149.15,2671.14,3415.62,4285.54,4680.9
Cot,Blu,,1587.13,783.11,1462.62,831.2,717.96,662.27,360.53,644.54,279.71,525.37,994.07,1216.13,566.99,696.51,1117.19,1263.61,1508.05,1739.69
Cot,Blu,,1587.13,781.25,1458.98,828.53,713.52,662.27,360.11,642.21,278.09,523.71,987.11,1208.62,565.84,683.83,1108.61,1258.56,1492.26,1732.67
Cot,Blu,,1582.25,780.33,1454.44,829.42,712.78,660.19,358.87,641.82,277.11,525.7,989.79,1212.79,564.7,685.78,1122.34,1268.66,1501.91,1742.03
Cot,Blu,,1600.79,789.6,1470.8,839.18,721.66,666.44,362.18,649.58,281.01,530.67,1003.18,1229.49,569.28,692.61,1138.64,1288.01,1524.72,1765.43
Cot,Blu,,2802.59,1475.39,2688.89,1618.04,1329.45,1077.15,580.73,1264.24,447.35,1030.51,2652.83,3256.93,608.22,1158.9,2707.17,3457.68,4299.57,4698.45
Cot,Blu,,2812.35,1481.88,2695.26,1624.25,1331.66,1082.71,581.98,1268.51,448,1033.83,2657.65,3266.94,611.66,1159.88,2704.6,3466.1,4284.66,4732.38
Cot,Blu,,2823.08,1490.22,2692.53,1631.34,1330.19,1087.58,585.29,1276.27,446.05,1041.78,2660.32,3292.82,612.81,1159.88,2726.91,3498.06,4311.86,4770.99
Cot,Blu,,2680.66,1417.94,2585.27,1541.75,1276.21,1048.66,560.87,1204.87,430.45,1007.31,2515.71,3080.81,608.22,1149.15,2645.39,3401.32,4081.13,4503.07
Cot,Blu,,2647.49,1398.47,2565.27,1519.57,1265.86,1035.46,555.48,1190.9,427.53,993.06,2488.4,3036.57,603.64,1154.02,2596.48,3332.33,4041.65,4424.69
Cot,Blu,,2663.1,1408.67,2575.27,1531.1,1271.77,1041.71,558.8,1200.22,429.8,1001.35,2502.86,3058.27,607.08,1159.88,2625.66,3371.87,4069.73,4458.62
Cot,Blu,,2664.07,1408.67,2579.81,1531.99,1273.25,1041.71,557.14,1197.89,428.5,995.05,2505.54,3058.27,602.5,1146.22,2603.35,3357.57,4057.44,4456.28
Cot,Blu,,2683.58,1419.79,2596.17,1542.63,1281.38,1049.35,561.69,1207.98,432.4,1006.65,2528.57,3085.82,607.08,1161.83,2629.95,3391.22,4085.52,4486.69
Cot,Blu,,2808.45,1491.15,2713.44,1624.25,1339.8,1093.83,585.29,1275.11,451.57,1069.96,2704.24,3308.68,620.82,1235.97,2855.62,3690.72,4404.85,4841.18
Cot,Blu,,2815.27,1493.93,2727.07,1627.79,1347.19,1095.92,587.36,1282.48,456.44,1076.59,2726.2,3321.2,623.12,1249.62,2862.48,3693.24,4425.9,4845.86
