Material,Color,Opacity,A=410nm,B=435nm,C=460nm,D=485nm,E=510nm,F=535nm,G=560nm,H=585nm,I=645nm,J=705nm,K=900nm,L=940nm,R=610nm,S=680nm,T=730nm,U=760nm,V=810nm,W860nm
Cot,Wht,,3405.45,1961.01,3370.66,2144.08,1892.13,1640.75,1026.53,1906.84,1143.54,1473.68,2660.86,3308.68,2454.66,2724.59,3869.84,4055,4689.97,4754.61
Cot,Wht,,3431.79,1969.36,3382.48,2151.17,1898.79,1653.26,1031.5,1908.78,1146.14,1474.34,2652.29,3290.31,2471.84,2710.93,3856.97,4049.95,4653.12,4761.63
Cot,Wht,,3372.28,1910.04,3261.58,2098.83,1827.8,1587.24,988.86,1841.26,1088.64,1374.57,2576.23,3249.41,2333.25,2486.56,3669.06,3832.06,4468.89,4540.51
Cot,Brn,,2830.88,1459.64,2621.63,1643.76,1362.72,1134.14,646.96,1355.82,619.53,1216.8,2525.35,3190.15,1033.18,1845.66,3335.27,3592.29,4185.53,4359.17
Cot,Brn,,2868.93,1474.47,2631.63,1663.28,1368.63,1142.48,654,1373.28,630.9,1223.42,2532.32,3217.7,1053.8,1887.6,3371.31,3617.53,4207.46,4354.49
Cot,Brn,,2833.81,1456.86,2605.26,1641.99,1352.37,1127.88,643.24,1350.78,613.35,1202.21,2506.07,3184.31,1018.29,1837.85,3311.25,3554.43,4150.44,4306.52
Cot,Brn,,2823.08,1451.3,2596.17,1634,1349.41,1125.1,642.41,1344.96,613.68,1200.22,2495.9,3174.29,1018.29,1842.73,3305.24,3541.81,4156.58,4298.33
Cot,Brn,,2864.05,1472.61,2623.44,1661.5,1364.94,1143.17,653.17,1369.79,630.25,1223.76,2529.1,3211.02,1057.23,1886.63,3385.9,3629.31,4208.34,4368.53
Cot,Brn,,2852.34,1466.13,2627.08,1653.52,1364.94,1134.14,648.62,1363.58,621.15,1215.14,2525.35,3209.35,1029.74,1868.09,3344.71,3593.97,4200.44,4332.26
Cot,Brn,,2824.05,1448.52,2591.63,1634.89,1342.02,1119.54,638.27,1341.85,606.21,1187.3,2461.62,3138.4,1001.11,1798.83,3252.04,3487.97,4063.58,4221.12
Cot,Brn,,2751.87,1408.67,2546.18,1589.65,1314.66,1088.27,620.06,1304.6,586.06,1143.21,2409.13,3043.25,954.15,1697.38,3105.31,3360.94,3948.66,4074.88
Cot,Wht,,3483.49,1989.74,3380.66,2159.16,1850.72,1571.25,963.61,1805.18,1071.74,1366.62,2590.7,3259.43,2224.43,2561.68,3523.19,3681.46,4392.57,4521.79
Cot,Wht,,3548.85,2019.4,3415.2,2196.41,1878.82,1585.15,979.75,1835.83,1114.95,1367.28,2604.09,3277.79,2313.77,2595.82,3625.3,3740.36,4465.38,4469.15
Cot,Wht,,3589.82,2081.49,3480.65,2246.98,1921.71,1624.07,1011.63,1894.04,1165.31,1442.85,2637.83,3342.9,2437.48,2767.51,3962.51,4052.47,4678.56,4561.57
Cot,Wht,,3586.89,2076.86,3484.29,2242.54,1909.14,1608.08,995.48,1862.61,1122.42,1389.82,2661.93,3358.76,2333.25,2589.97,3690.51,3800.93,4571.53,4587.31
Cot,Wht,,3374.23,1862.78,3182.49,2042.95,1756.82,1503.15,935.46,1769.86,1062.65,1346.4,2525.89,3186.81,2184.34,2529.49,3604.7,3702.5,4357.47,4335.77
Cot,Wht,,3522.51,2033.3,3397.02,2190.2,1871.43,1592.8,992.59,1850.96,1131.2,1407.39,2551.06,3236.06,2389.37,2672.89,3852.68,3942.26,4501.35,4418.84
Cot,Wht,,3410.33,1944.33,3392.48,2101.5,1841.85,1503.84,921.39,1727.95,1055.5,1264.19,2554.81,3106.68,2122.49,2419.25,3272.63,3387.86,4273.26,4203.57
Cot,Wht,,3505.92,2014.77,3397.93,2195.53,1869.21,1586.54,971.48,1793.15,1000.27,1296.35,2581.59,3268.61,2072.09,2168.55,3644.17,3806.82,4457.49,4462.13
Cot,Wht,,3405.45,1931.36,3271.58,2099.72,1782.7,1510.1,923.05,1724.46,971.36,1241.65,2488.4,3148.42,2006.8,2135.38,3323.26,3471.98,4152.19,4257.39
Cot,Wht,,3426.91,1937.85,3281.58,2105.04,1793.79,1519.13,937.95,1770.64,1059.07,1326.84,2512.5,3175.96,2183.2,2479.74,3512.03,3630.99,4277.64,4290.15
Cot,Wht,,2861.12,1624.6,3205.22,1747.55,1739.07,1287.02,787.69,1443.52,997.67,1075.92,2438.59,2506.55,1818.95,2314.88,2738.06,2825.04,4049.55,3470.02
Cot,Wht,,3506.9,2027.74,3395.21,2183.99,1842.59,1558.05,950.78,1770.25,1013.59,1281.76,2544.1,3235.22,2101.87,2282.68,3393.62,3561.16,4281.15,4383.74
Cot,Wht,,3332.29,1905.41,3285.21,2066.9,1804.14,1503.84,923.46,1708.16,982.08,1240.33,2488.4,3072.46,1997.64,2148.06,3479.43,3650.34,4341.68,4186.02
Cot,Wht,,1056.46,603.32,2857.06,566.85,1546.09,542.75,308.37,439.26,870.65,374.55,2069.02,558.4,672.37,2019.3,734.5,804.27,3488.09,1056.45
Cot,Wht,,3439.59,1799.76,3141.59,2050.93,1789.35,1542.76,965.27,1802.85,1085.06,1376.23,2485.72,3147.58,2308.05,2625.09,3754.86,3836.26,4389.93,4319.39
Cot,Wht,,3474.71,1829.42,3193.4,2084.64,1819.67,1559.44,975.2,1824.97,1093.19,1394.13,2533.92,3208.51,2305.76,2657.28,3809.78,3899.36,4479.42,4387.25
Cot,Wht,,3445.44,1824.78,3169.77,2078.43,1798.97,1551.1,966.1,1808.67,1078.24,1382.53,2498.57,3173.46,2290.87,2588.02,3782.32,3864.87,4412.74,4358
Cot,Wht,,3470.81,1828.49,3195.22,2076.66,1812.28,1548.32,966.92,1815.65,1084.41,1385.18,2527.5,3195.99,2285.14,2634.84,3786.61,3882.53,4467.14,4365.02
Cot,Wht,,3464.95,1792.35,3203.4,2052.71,1835.2,1554.57,972.72,1808.28,1118.85,1368.94,2529.1,3116.7,2340.12,2647.52,3728.26,3803.45,4450.47,4283.13
Cot,Wht,,3310.83,1727.47,3127.95,1973.76,1776.78,1485.08,924.29,1723.69,1069.8,1318.55,2476.08,3004.85,2192.36,2588.02,3578.96,3658.75,4353.09,4134.54
Cot,Wht,,3477.63,1842.39,3202.49,2092.63,1818.19,1560.13,972.3,1821.09,1083.76,1394.79,2530.17,3211.85,2295.45,2615.33,3820.93,3909.45,4475.03,4398.95
Cot,Wht,,3423.98,1809.03,3137.04,2050.93,1778.26,1537.2,954.92,1781.89,1062.65,1367.61,2484.11,3149.25,2255.36,2599.72,3748.86,3832.06,4374.14,4335.77
Cot,Wht,,3463,1822.93,3189.77,2073.11,1813.75,1553.18,970.23,1817.98,1089.94,1388.49,2527.5,3177.63,2303.47,2655.33,3790.9,3884.21,4469.77,4370.87
Cot,Wht,,3180.11,1878.53,3193.4,2067.79,1803.4,1562.22,988.03,1806.73,1143.22,1359.66,2371.64,2986.49,2500.48,2696.3,3670.77,3705.02,4219.74,4133.37
Cot,Wht,,3161.57,1835.9,3148.86,2033.19,1787.14,1543.46,976.44,1784.61,1134.44,1339.77,2349.68,2942.25,2470.7,2629.96,3615,3651.18,4172.37,4074.88
Cot,Wht,,3199.62,1851.66,3165.22,2055.37,1797.49,1558.05,986.38,1800.52,1141.59,1349.71,2349.14,2964.79,2502.77,2647.52,3649.32,3671.37,4197.81,4097.11
Cot,Wht,,3145.97,1852.58,3138.86,2037.63,1776.04,1539.29,973.96,1782.28,1125.67,1332.81,2339.5,2944.76,2469.55,2626.06,3614.14,3666.32,4159.21,4064.35
Cot,Wht,,3168.4,1839.61,3147.95,2036.74,1785.66,1542.07,977.69,1788.1,1127.95,1339.1,2339.5,2949.76,2467.26,2643.62,3607.28,3648.65,4167.98,4058.5
Cot,Wht,,3185.96,1901.7,3212.49,2077.54,1810.06,1560.83,987.62,1805.95,1147.11,1349.71,2373.78,2975.64,2505.06,2645.57,3660.48,3691.56,4214.48,4115.83
Cot,Wht,,3166.45,1901.7,3209.76,2072.22,1801.92,1555.27,984.31,1800.52,1140.62,1352.69,2367.89,2974.8,2487.88,2648.5,3649.32,3679.78,4205.7,4113.49
Cot,Wht,,3073.78,1825.71,3098.86,2001.26,1746.47,1510.79,955.75,1746.97,1102.93,1308.28,2285.94,2872.14,2420.3,2583.14,3534.34,3568.73,4070.6,3981.28
Cot,Wht,,3211.32,1861.85,3177.04,2064.24,1803.4,1567.08,991.34,1810.61,1142.24,1358.66,2356.1,2978.98,2515.37,2654.35,3671.63,3699.13,4203.07,4125.18
Cot,Wht,,3198.64,1879.46,3183.4,2065.13,1799.71,1562.22,987.62,1804.01,1135.42,1354.02,2353.96,2978.14,2503.92,2674.84,3664.77,3700.81,4195.18,4122.85
Cot,Red,,3363.5,1758.98,3038.87,1926.74,1617.81,1362.77,822.05,1632.11,922.3,1290.05,2506.61,3181.8,1849.87,2232.93,3578.96,3706.7,4302.21,4290.15
Cot,Red,,3137.19,1624.6,2810.7,1789.24,1492.85,1281.46,769.9,1506.38,870.33,1217.13,2297.72,2908.86,1763.97,2127.58,3360.16,3421.51,3960.94,4001.17
Cot,Red,,3372.28,1762.69,3045.23,1936.5,1620.77,1366.25,824.53,1640.26,929.45,1297.01,2516.78,3196.83,1857.89,2222.2,3596.98,3720.16,4312.73,4303.01
Cot,Red,,3294.24,1723.77,2964.33,1888.6,1572.71,1334.28,802.6,1591.75,901.84,1268.83,2456.26,3121.71,1807.49,2190.99,3535.2,3636.88,4211.85,4223.46
Cot,Red,,2807.47,1427.2,2538.9,1583.44,1265.12,1027.81,569.56,1249.11,563.65,1136.91,2441.26,3112.53,827,1647.63,3270.92,3515.73,4107.45,4159.11
Cot,Red,,2799.67,1423.5,2541.63,1580.78,1268.08,1025.03,569.14,1248.72,565.6,1138.24,2453.58,3110.02,824.71,1628.12,3283.79,3527.51,4124.99,4152.09
Cot,Red,,3298.14,1728.4,3010.69,1891.26,1598.59,1337.75,805.08,1596.8,913.86,1276.79,2491.07,3139.24,1807.49,2225.13,3532.63,3638.56,4272.38,4229.31
Cot,Red,,3019.15,1559.73,2737.98,1708.52,1418.17,1166.1,685.87,1412.48,715.04,1154.81,2370.56,3021.55,1297.78,1798.83,3234.02,3424.87,4005.68,4037.44
Cot,Red,,3304,1732.11,2989.78,1899.24,1588.98,1343.31,808.8,1604.95,909.63,1276.79,2474.47,3139.24,1816.66,2207.57,3533.48,3652.02,4239.04,4239.84
Cot,Red,,3381.06,1774.74,3060.68,1946.26,1626.69,1367.64,824.95,1646.85,926.2,1304.3,2541.96,3231.89,1843,2238.79,3623.58,3752.97,4350.46,4336.94
Cot,Red,,3399.6,1790.49,3084.32,1960.45,1643.69,1384.31,839.43,1663.15,948.62,1316.57,2527.5,3221.03,1912.87,2279.76,3632.16,3747.93,4353.09,4334.6
Cot,Red,,3188.89,1651.48,2876.15,1808.76,1531.3,1291.19,780.66,1542.08,878.45,1222.43,2350.75,2963.12,1769.69,2109.04,3353.29,3468.62,4018.84,4000
Cot,Red,,3361.55,1746.01,3027.05,1923.19,1611.16,1346.09,814.6,1629.39,931.73,1277.12,2505.54,3188.48,1847.58,2197.81,3582.39,3673.05,4294.31,4212.93
Cot,Red,,3390.82,1772.88,3043.41,1948.03,1617.07,1357.21,818.74,1638.32,926.85,1281.43,2517.32,3216.03,1849.87,2199.77,3634.74,3736.99,4313.61,4258.56
Cot,Red,,2855.27,1443.89,2558.9,1605.62,1277.69,1034.76,575.77,1266.57,573.72,1138.57,2449.3,3153.43,840.75,1630.07,3316.4,3536.76,4128.5,4134.54
Cot,Red,,2745.04,1386.43,2471.64,1545.3,1231.84,998.62,554.24,1215.35,541.56,1078.91,2361.46,3017.37,792.64,1531.54,3158.51,3392.06,3958.31,3966.07
Cot,Red,,2833.81,1433.69,2542.54,1594.97,1268.81,1027.12,570.39,1253.77,568.2,1127.96,2451.98,3136.73,825.86,1630.07,3305.24,3525.83,4118.85,4128.69
Cot,Grn,,2941.11,1477.25,2629.81,1713.84,1495.07,1241.85,708.64,1386.87,589.64,934.39,2416.09,3079.97,1050.36,1273.04,2396.56,3032.83,4034.63,4087.75
Cot,Grn,,3052.32,1533.78,2722.53,1774.16,1551.27,1291.19,745.47,1455.55,638.69,971.51,2484.65,3176.8,1160.32,1357.9,2514.97,3147.25,4189.04,4201.23
Cot,Grn,,2984.03,1501.34,2668.9,1732.47,1528.34,1275.9,735.95,1425.67,628.62,958.59,2424.66,3084.98,1150.01,1329.61,2497.81,3118.65,4081.13,4085.41
Cot,Grn,,3100.12,1561.58,2749.8,1791.02,1541.65,1296.75,757.48,1472.23,690.35,1079.9,2442.87,3131.72,1292.05,1629.09,2930.27,3325.6,4141.66,4164.96
Cot,Blu,,2769.43,1414.23,2531.63,1589.65,1279.17,1043.8,571.63,1202.93,446.7,856.17,2330.39,2988.99,649.46,944.29,2401.71,2988.25,3814.44,3968.41
Cot,Blu,,2845.51,1469.83,2669.8,1667.71,1352.37,1086.19,592.74,1213.8,451.57,781.25,2317.54,2950.6,676.95,796.01,2029.31,2665.19,3655.65,3871.31
Cot,Blu,,2794.79,1425.35,2559.81,1602.07,1293.21,1045.88,574.52,1219.23,456.44,886.99,2396.27,3060.78,648.32,1023.31,2442.89,3025.26,3926.73,4053.82
Cot,Blu,,2837.71,1457.79,2645.26,1656.18,1341.28,1080.63,590.67,1207.2,448.32,778.93,2276.83,2917.21,679.24,810.65,2025.02,2643.32,3604.76,3812.81
Cot,Blu,,2915.75,1493,2688.89,1691.66,1366.42,1098.7,602.67,1249.11,464.24,822.02,2384.49,3060.78,682.68,860.4,2179.47,2796.43,3781.98,3971.92
Cot,Blu,,2949.89,1515.25,2746.16,1724.49,1395.99,1113.29,610.54,1259.2,465.86,801.47,2391.45,3070.79,689.55,821.38,2071.35,2705.57,3760.92,3967.24
Cot,Blu,,2866.98,1473.54,2661.62,1674.81,1350.15,1089.66,596.05,1220.01,451.57,784.9,2297.72,2956.44,683.82,800.89,2050.76,2683.7,3653.89,3859.61
Cot,Blu,,2877.71,1477.25,2678.89,1677.47,1360.5,1091.05,598.53,1228.93,460.67,798.16,2341.64,2985.65,688.41,825.28,2092.8,2724.92,3713.55,3888.86
